Entry	Entry name	Protein names	Status	Gene names  (primary )
A0A1D5R4M8	A0A1D5R4M8_MACMU	Brain-derived neurotrophic factor	unreviewed	BDNF
W8R5X0	W8R5X0_LONAU	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
H9F8C5	H9F8C5_MACMU	Brain-derived neurotrophic factor isoform b preproprotein (Fragment)	unreviewed	BDNF
B3FFL5	B3FFL5_LUTLU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
W8R6P3	W8R6P3_HSUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
W8R6N8	W8R6N8_ARTHA	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
G3M6Z2	G3M6Z2_CROCR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q2VDH0	Q2VDH0_MIRAN	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
G3S0L4	G3S0L4_GORGO	Brain derived neurotrophic factor	unreviewed	BDNF
Q5G6F9	Q5G6F9_ANTPA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q2VDH1	Q2VDH1_AILME	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
G1M7K1	G1M7K1_AILME	Brain-derived neurotrophic factor	unreviewed	BDNF
A0A075TL65	A0A075TL65_ARTGW	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
A0A0K0N528	A0A0K0N528_9CHIR	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
Q1X7G6	Q1X7G6_9EUTH	BDNF (Fragment)	unreviewed	BDNF
D7PRA0	D7PRA0_AILME	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A165QMM8	A0A165QMM8_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
W8RIE9	W8RIE9_ANOCU	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
Q1X7G8	Q1X7G8_ORYTA	BDNF (Fragment)	unreviewed	BDNF
A0A165QMR5	A0A165QMR5_MICBV	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A0C5Q136	A0A0C5Q136_9CHIR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
