c1.diseaseId	c1.name	c2.type	c2.diseaseClassName	c0.Ngenes	c0.diseaseId2	c0.source
C0030567	Parkinson Disease	disease	null	1	C0340563	ALL
C0030567	Parkinson Disease	disease	null	1	C0340566	ALL
C0030567	Parkinson Disease	disease	Cardiovascular Diseases ; Nervous System Diseases	1	C0340569	ALL
C0030567	Parkinson Disease	disease	null	1	C0340971	ALL
C0030567	Parkinson Disease	disease	null	1	C0341047	ALL
C0030567	Parkinson Disease	disease	null	1	C0341189	ALL
C0030567	Parkinson Disease	group	null	1	C0341268	ALL
C0030567	Parkinson Disease	disease	null	1	C0341306	ALL
C0030567	Parkinson Disease	disease	null	1	C0341332	ALL
C0030567	Parkinson Disease	disease	null	1	C0341335	ALL
C0030567	Parkinson Disease	disease	null	1	C0341461	ALL
C0030567	Parkinson Disease	disease	null	1	C0341472	ALL
C0030567	Parkinson Disease	disease	null	1	C0341486	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0341742	ALL
C0030567	Parkinson Disease	disease	null	1	C0341823	ALL
C0030567	Parkinson Disease	disease	null	1	C0341862	ALL
C0030567	Parkinson Disease	disease	null	1	C0342122	ALL
C0030567	Parkinson Disease	disease	null	1	C0342162	ALL
C0030567	Parkinson Disease	disease	null	1	C0342194	ALL
C0030567	Parkinson Disease	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities ; Endocrine System Diseases ; Musculoskeletal Diseases	1	C0342200	ALL
C0030567	Parkinson Disease	disease	null	1	C0342273	ALL
C0030567	Parkinson Disease	disease	null	1	C0342278	ALL
C0030567	Parkinson Disease	disease	null	1	C0342282	ALL
C0030567	Parkinson Disease	disease	null	1	C0342283	ALL
C0030567	Parkinson Disease	disease	null	1	C0342286	ALL
C0030567	Parkinson Disease	disease	null	1	C0342326	ALL
C0030567	Parkinson Disease	disease	null	1	C0342336	ALL
C0030567	Parkinson Disease	disease	null	1	C0342345	ALL
C0030567	Parkinson Disease	disease	null	1	C0342346	ALL
C0030567	Parkinson Disease	disease	null	1	C0342386	ALL
C0030567	Parkinson Disease	disease	null	1	C0342394	ALL
C0030567	Parkinson Disease	disease	null	1	C0342396	ALL
C0030567	Parkinson Disease	disease	null	1	C0342442	ALL
C0030567	Parkinson Disease	disease	null	1	C0342464	ALL
C0030567	Parkinson Disease	disease	null	1	C0342467	ALL
C0030567	Parkinson Disease	disease	null	1	C0342471	ALL
C0030567	Parkinson Disease	disease	null	1	C0342496	ALL
C0030567	Parkinson Disease	disease	null	1	C0342500	ALL
C0030567	Parkinson Disease	disease	null	1	C0342544	ALL
C0030567	Parkinson Disease	disease	null	1	C0342549	ALL
C0030567	Parkinson Disease	disease	null	1	C0342552	ALL
C0030567	Parkinson Disease	disease	null	1	C0342573	ALL
C0030567	Parkinson Disease	disease	null	1	C0342610	ALL
C0030567	Parkinson Disease	disease	null	1	C0342618	ALL
C0030567	Parkinson Disease	disease	null	1	C0342646	ALL
C0030567	Parkinson Disease	phenotype	Nutritional and Metabolic Diseases	1	C0342649	ALL
C0030567	Parkinson Disease	disease	null	1	C0342684	ALL
C0030567	Parkinson Disease	disease	null	1	C0342686	ALL
C0030567	Parkinson Disease	disease	null	1	C0342687	ALL
C0030567	Parkinson Disease	disease	null	1	C0342739	ALL
C0030567	Parkinson Disease	disease	null	1	C0342778	ALL
C0030567	Parkinson Disease	disease	null	1	C0342784	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0342870	ALL
C0030567	Parkinson Disease	disease	null	1	C0342880	ALL
C0030567	Parkinson Disease	disease	null	1	C0342886	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0342898	ALL
C0030567	Parkinson Disease	disease	null	1	C0342907	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0342922	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0342951	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0343073	ALL
C0030567	Parkinson Disease	disease	null	1	C0343082	ALL
C0030567	Parkinson Disease	disease	null	1	C0343208	ALL
C0030567	Parkinson Disease	disease	null	1	C0343381	ALL
C0030567	Parkinson Disease	disease	Digestive System Diseases	1	C0343387	ALL
C0030567	Parkinson Disease	disease	null	1	C0343458	ALL
C0030567	Parkinson Disease	disease	null	1	C0343461	ALL
C0030567	Parkinson Disease	disease	null	1	C0343560	ALL
C0030567	Parkinson Disease	disease	Hemic and Lymphatic Diseases ; Immune System Diseases ; Neoplasms ; Virus Diseases	1	C0343640	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0343731	ALL
C0030567	Parkinson Disease	disease	null	1	C0343881	ALL
C0030567	Parkinson Disease	disease	null	1	C0343885	ALL
C0030567	Parkinson Disease	disease	null	1	C0344183	ALL
C0030567	Parkinson Disease	disease	null	1	C0344263	ALL
C0030567	Parkinson Disease	disease	null	1	C0344287	ALL
C0030567	Parkinson Disease	disease	null	1	C0344432	ALL
C0030567	Parkinson Disease	disease	null	1	C0344462	ALL
C0030567	Parkinson Disease	disease	null	1	C0344490	ALL
C0030567	Parkinson Disease	disease	null	1	C0344531	ALL
